complaint_text,category,priority
I have been without service for an entire week now.,Technical,High
Your technician came and left without fixing the problem.,Technical,High
The router you provided overheats and shuts down every few hours.,Technical,Medium
I am unable to connect more than one device to the network.,Technical,Medium
My internet works fine during the day but drops completely at night.,Technical,Medium
Video calls are impossible because of constant lag and freezing.,Technical,High
I have called support 5 times and the issue is still not resolved.,Technical,High
The set top box you sent me was broken straight out of the box.,Technical,Medium
My smart TV cannot find the network even though other devices connect fine.,Technical,Low
Pages take forever to load even on a wired connection.,Technical,Medium
I have had 3 outages this week alone.,Technical,High
My voicemail stopped working and I am missing important messages.,Technical,Medium
My order has been sitting in the warehouse for 10 days with no movement.,Delivery,High
The delivery was attempted when I was home but no one knocked.,Delivery,Medium
My package was left outside in the sun and the contents melted.,Delivery,High
I paid for same day delivery but it arrived 3 days later.,Delivery,High
The tracking page has not updated in 5 days.,Delivery,Medium
My order was split into 3 shipments and only one has arrived.,Delivery,Medium
The courier left my package with a neighbor without my permission.,Delivery,Medium
I received someone else's order completely.,Delivery,Medium
My package shows delivered but I have checked everywhere and it is not here.,Delivery,High
The estimated delivery date has been pushed back 4 times now.,Delivery,High
I ordered a gift for a birthday and it arrived a week late.,Delivery,Medium
The box arrived completely open and items were missing inside.,Delivery,High
I was not given any tracking number after placing my order.,Delivery,Low
My return pickup was scheduled 2 weeks ago and no one has come.,Delivery,High
The delivery driver marked my package as refused but I never refused it.,Delivery,High
I have been waiting 3 weeks for a replacement to be delivered.,Delivery,High
My order confirmation shows a different address than what I entered.,Delivery,Medium
The fragile sticker on my package was completely ignored and it arrived broken.,Delivery,High
I received only half of my order with no explanation for the rest.,Delivery,Medium
Delivery was rescheduled without anyone informing me.,Delivery,Low
I have been locked out of my account for 3 days and cannot reach support.,Account,High
My account was merged with someone else's without my knowledge.,Account,High
I cannot update my phone number because the verification code never arrives.,Account,Medium
My loyalty points disappeared from my account overnight.,Account,Medium
I requested account deletion 30 days ago and it still exists.,Account,Medium
Someone changed the email on my account and I cannot get back in.,Account,High
My account shows purchases I never made.,Account,High
I cannot add a new payment method to my account.,Account,Low
My account was suspended without any reason given.,Account,High
The name on my account is misspelled and I cannot change it.,Account,Low
I have two accounts accidentally created under my email.,Account,Low
My subscription was downgraded without my consent.,Account,High
I cannot see my order history even though I have been a customer for 5 years.,Account,Medium
My saved addresses were all deleted from my account.,Account,Medium
I am unable to close my account despite multiple requests.,Account,Medium
My account preferences keep resetting every time I log in.,Account,Low
I was logged out of all devices without warning.,Account,Medium
My account shows a different plan than what I signed up for.,Account,High
I cannot verify my identity to recover my account.,Account,High
My two factor authentication stopped working after I changed my phone.,Account,Medium
I would like to know how to upgrade my current plan.,Other,Low
Can you explain what the different packages include?,Other,Low
I am moving to a new address and want to transfer my service.,Other,Low
How long does it take to process a new application?,Other,Low
I would like to leave a positive review for one of your agents.,Other,Low
Is there a family plan available for multiple users?,Other,Low
How do I update my communication preferences?,Other,Low
I want to know if you offer any loyalty rewards.,Other,Low
Can I pause my subscription temporarily?,Other,Low
I am interested in adding an extra service to my current plan.,Other,Low
What is the process for referring a friend?,Other,Low
Do you offer any discounts for senior citizens?,Other,Low
I would like a call back from your sales team.,Other,Low
How do I download my usage report?,Other,Low
Is there a grace period for late payments?,Other,Low
I want to know what happens when my contract ends.,Other,Low
Can I switch plans without any penalty?,Other,Low
I just want to confirm my next billing date.,Other,Low
Do you have a dedicated support line for business customers?,Other,Low
I would like to know more about your annual payment option.,Other,Low
"Last july 27, 2010, I called the 1800-Comcast # and of course, the usual introduction been played, like this is recorded for training or whatever purposes. I spoke with customer representative, since my one year subscription for preferred package will expire anytime August. I asked if they have a promotional package wherein I can avail once my old program package expires. This guy named Ira a call center from Mexico. He said he put me in bundle with telephone (unlimited) and cable for $69.99 per month plus tax. I asked about the installation fee and etc. He told me that everything will be waived and assured me that there is no hidden charges when I get my cable bill.Today, August 12, 2010 I receive my bill and Comcast charged me $194.60. I was so shock and *** off and the bottom line is when I called Comcast customer reps, 2 times, they told me such bundle/package is non-existence and they can't pull-out the conversation with the guy, call center in Mexico. They ripped us, mislead us w",Billing,High
"I cancelled Comcast. I returned the boxes and was still receiving bills as if I had service and equipment. After many faxes and attempts, I’m still dealing with it over 2 months later. Then to top it off, Comcast sent a rep to my home, who in turn questioned my 17-year old son about my account, payment and boxes they state I have. No one will acknowledge what happened. No return call or investigation has been done into this. I know it is illegal for this to happen due to my son being under 18 and he even told them this and to wait for me to come home. They told my son to call me and tell me to come home to pay or return the boxes I do not have. To this day, 41 days later, I was told by a rep from Comcast these exact words: “What do you want us to do about it?” I want it fixed. I want an answer for a correct bill to pay and my boxes I returned to show—this is what I want. Nothing done as of yet. No resolution, no call back. Still frustrated with no answers. Can not even give one good st",Billing,High
"Comcast has a feed cable running across the entry of my property. The wire hangs so low, you can touch with your hand. I have been calling them since mid June. I have not been successful in getting a resolution. Currently, I have a motor-home that has been stationary for 2 months, because I cannot drive under the wire. They have promised to repair 8 different times, but never show up. This is a safety risk for my family and friends.",Billing,High
"I called Comcast to make a payment arrangement for my account. I asked the agent to have the funds come out on the Friday. He gave me a confirmation number and assured me that I will not have any interruption with my services. On the Sunday my services (cable, internet and phone) were turned off. I called Comcast and the agent told me that my payment was cancelled and the agent should of called and told me so. The agent said I would have to make a new payment, so I did. On that Tuesday while checking my bank account I saw that two payments were taken out from Comcast. When I called Comcast and told them that they needed to refund one of the payments because I only authorized one they told me no. So I hung up and called back and that agent told me to send in my bank statement that shows Comcast took two payments. So I faxed that over.I called two days later to ask about the status and was once again told that they will not give me back my money. I called three more times and spoke with ",Billing,High
"Buyer beware, I got new services yesterday and today I get a call about a very old bill and was told if that bills not paid in full my services would be cut and immediately they were. Corporate stated they are powerless against the collection team and can do nothing. Unbelievable. They should be put out of business for that kind of customers treatment.",Billing,High
"So these hateful people shipped me products I didn't ask for then sent me a 2nd round of stuff I didn't ask for... When I called I was told just send it back with the prepaid labels. UPS will come to you free of charge. Well... No. No, they will not. It's $15 per package to come to me... Then Comcast has the nerve to charge me $20 a month for the items I didn't request because they are in my possession more than 2 weeks... And I'm told I need to make time to get to UPS or continue with the $20 fee for items I didn't want and couldn't refuse as they were left at my door... What a racket.UPS can get $30 from me for Xfinity/Comcast sending me items I didn't request or Xfinity/Comcast can get $20 a month for me having items I didn't request or want. I called told them I work for a living, can't get to UPS, and explained all the costs and the fact that I didn't agree to have the items or accept the items. You left the items. Should I have left them in the rain to be stolen? The response was",Billing,High
"We had been long time Comcast customers who always paid on time. However, we were traveling overseas and had difficultly getting payments to Comcast. We missed their notices of late payment. When we did pay the amount in full on our return, Comcast had disconnected our services and released our telephone number of 14 years. They could not restore the number for us as it was ""out of the pool."" ",Billing,High
"You can usually get someone on the phone within 5 mins as long as there's not a major issue, in which case they usually have a recording letting you know about it. They tend to want to charge you for everything, but you can talk to a supervisor in many cases and get all or part of the charges removed. We are told we get 50MBPS down speed. That is simply not the case, or I could download a 500MB file in 10 seconds. It normally takes about 1-2 minutes, depending on the time of day. It would make me feel much more warm and fuzzy about Comcast if they actually delivered what they say they deliver download and upload speed-wise, but it's better than C. America!",Billing,Medium
"I move from Florida on end March. By April 15 I was leaving in Sealy, Texas. 3 months later I have a collection company calling me. Comcast is charging for equipment and two months of service June and July. I keep calling to fix the problem, no help. They keep saying that I never call to disconnect the service. The equipment was return to Comcast by UPS. They charging me $537.37 on equipment and service. Also I was talking to the technician and he told me I never pay for cable so ask how is that, he respond was I charge my service for cable to the people with money they never look the bill? To me that was incredible. So we have this people charging others for service.",Billing,High
My service price continues to change. It has run as high as $334 per month and as low as $100 per month. I ordered the triple play with free HBO in August of 2009 and have had to make 4 phone calls to have my bills corrected. Again I am being over charged! Can you please review this account? Today Clarisa at the Union office (she would not give me additional information) was unsure of why this has changed. She also could not make an adjustment to my account. There was no supervisor available and she assured me she would look into this matter. At least 3 hours on the phone.,Billing,High
"Every month in the last year, we have had different payments due. When we call, some offer different rates/promotions so that you will not change your coverage. We were told that our price would be adjusted but were not told that it would only be for 3 months. When we asked why our bill went up $40.00 in one month, Chris said that the special promotion was over... They lie depending who you talk to. Our monthly payments range from $91.87 in Nov. a month to $147.61 February statement. Comcast seems to have the right to change statement rates for any reason based on who answers the phone. Monthly bills should not vary $55.00 for the same coverage.",Billing,High
"I have been overcharged and Comcast could not explain what was going on with my account. They told me 3 different amounts for my bill, 2 different amounts within 20 minutes, I cancelled my service and would never recommend this company to anyone.",Billing,High
"In November of 2012 I stopped my service and moved to my home in Florida, which has Comcast. At that time, I was told my Michigan bill was paid in full. Comcast had been sending a small bill outstanding to an address in Mc Kinney Texas where I have never lived. After several months, they sent it to collections. (They admitted it was their mistake, and would notify the agency). I became aware of it in December of 2013 because it showed up as a collection on my credit report. (My credit score dropped from 830 to 773). Never had a collection in my life. I contacted Comcast and paid the $40 balance owing, and they assured me that they would have that report removed from my credit. As of February 24th, I am now receiving collections statements from Credit Protection Association LP in Dallas Texas sent to my old Michigan address. I spoke to them today and they said Comcast never contacted them to have this removed. Can you believe this, I am a Comcast customer in Florida as well. What the he",Billing,Low
"I am a 67-yr-old man, and have been with Comcast ever since they became a TV cable company!! I recently moved to another state, and had my service transferred!! According to Comcast, every time I change states I must pay for everything all over again. They would not provide any promotions, incentives, or even a prepaid debit card, etc. to stay with them. In effect, I was a new customer that they were going to stack all kinds of charges on my account! I sit here today looking at my first bill in the amount of $237.00, and I live solely on social security!! What am I supposed to do with this!!?? I have tried to talk to a supervisor about helping me with this, but I am always on hold waiting for one of them to get on the line. Nobody ever comes back to the phone... and eventually I am disconnected!! This really blows me away, and I am furious with the company!! I am completely baffled as to what I can do about this!!",Billing,High
"Comcast Cable Service over charging for its HD service. You must pay a $8 fee for each HD cable box, and then pay $6 more for each cable box that has HD service.",Billing,High
"We have been with Comcast over 14 years. We upgraded to a bundle with phone and security. They lied about everything. My bill doubled. What they promised as free, they changed me for and they have been adding charges ever since. For four months, I tried to call them, but they just said they would get back with me and never did. They are a total scam. They are the biggest crooks in the market today. Stay away from all their lies and and overcharges. No one that I know has had a good experience with these cheaters.",Billing,High
"I have been a customer with Comcast for over a year. On June 12, 2009, I found out that there was a notice put on my account by the inner office that will no longer allow me to make payment arrangements. No one could tell me why. All payment arrangements that I have made were honored and paid in full. Therefore, $116.00 was paid on June 13, 2009. To add injury to insult, my service was disconnected on June 26, 2009 without any notice. I was told by a customer service representative that I needed to pay my past due amount by the end of the day on June 26 or a technician would be out the next day to disconnect my service, which in turn could require me to pay a reconnection fee and the entire bill! Of course, I scrambled to make the payment of $129.00 before this predicament occurred knowing that I just made a payment two weeks prior without receiving a bill! The end total that I paid to Comcast for the month of June was $244.00! I would like to inquire why I can no longer make payment a",Billing,High
"I receved my monthly bill from Comcast and I found a onetime charge of $125.00.When I inquired about this charge they said that a check was returned in April 2005. I totally disagree with this as I don't recall any checks being returned, my question to them is why did it take them 3 years to find this out. When I moved my residence I cancelled my services and after moving I got the service back again, at least at that time they should have known that I owe this amount. I refused to pay this amount.Services were disconnected due to past due balance.",Billing,High
"WARNING: COMCAST BUSINESS and COMCAST RESIDENTIAL are similar to discussions with the U.S. and Afghanistan. Different languages, different leaders, different goals and expectations. I live in a high rise building. My office was on the 2nd floor and my residence on the 66th floor. The building recently converted to Comcast and the nightmare began. Currently Comcast -called me- to upgrade my service to X1. I informed them that this is an older building but Comcast just re-wired it.Numerous phone calls, emails, and promises resulted in my phone lines being disconnected and no new service. Business customer service at Comcast stops at 5PM Friday and restarts at 6AM on Monday. My lines went dead at 4:30 PM CST on a Friday. My good fortune was to reach someone, after an 18 minute hold, and request reinstatement of the phone service. It took over 2 hours.I have been in constant contact with the office of Tom Karinshak. ""We value your feedback. Please know that we are actively investigating yo",Billing,High
"Very dishonest. Cancelled my service and they kept charging me for 2 subsequent months. Called and they said ""refund check in the mail"". Refund check never arrived. Called again 3 months later (after the 2 subsequent months) and they said I had early termination fees (which is never listed on the bank account summary-only the two monthly charges are listed). And I was not even under a contract. Just keep making up fees to not issue the refund.",Billing,High
"I am so fed up with Comcast. We recently moved to a new house about 2 months ago. Our initial installation was a nightmare. The technincian installed the cable wire through the shower! They had to come back 3 more times to fix the cable, phones and internet. The last 2 bills I have received have been wrong and have taken me over an hour on the phone to straighten out. And they still weren't fixed! Not to mention, our phone didn't work the first 15 days. And when they finally came back to fix it, they unplugged our alarm system that was connected to the phone line. Consequently, our alarm company had to come back, charge us $100 to reconnect and Comcast will not reimburse us. On our last bill, we were charged again for Comcast coming back to fix the internet that never worked in the first place! Is this a joke? Horrible service!",Billing,High
Comcast is the worst cable company. They charge you all these extra fees and on top of that you have to pay an expensive bill. I have one box and my cable with from 50 dollars to 343.60. What kind of ** is that. They should be ashamed of themselves. Besides AT&T doesn't even charge that much.,Billing,High
I started with Comcast 2 years ago and when I started I was paying $89/mo. Before the first year was up I moved and got another good deal to change addresses. After That year my bill jumped to $160. I called to see about changing plans and they gave me BS deals that were a lot less service for only a few bucks cheaper. Turns out once you are a customer then they no longer care about you and will not offer you anything better. Only new customers get better service rates. Only problem is they are the only ones that service internet in my area. Such a scam.,Billing,High
"Brief summary: I live with my brother. Comcast account in his name, I am authorized, I pay the bill. Sometimes he does not give me the bill so have been late here and there. Recently called and paid. They took my money then turned off service the next day. I call, they apologize and turn it back on. I argue there better not be a reconnect fee. They said of course not. Well next few month there was an odd charge of $3 which I asked and they gave me some BS. When I added it up it totaled a reconnect fee... go figure.Fast forward and missed payment. Called, set up arrangement, shut service off. Called, turned it on. Next day, shut service off. Called and told them the arrangement. Had the rudest female ever who said rep should not have done that, turned service on and argued would not be paying 2 reconnect fees. She said, ""Not my problem. Speak to another department"" and ended call. Bogus charges showing on bills. Worst customer service EVER.",Billing,High
"Until VERY recently, technicians would lie to you about what service is available, promise items would be deducted from your bill (only to be re-placed on your bill the next month). Now, however, they are MUCH more pleasant, all the way up to average. Pixelation, almost daily; 5-6 outages a year, down from 10-12. Tallahassee, Florida has the highest Comcast bill in the state, for basic Xfinity service. Xfinity would not work with my new TV (an LG), so I had to use a DTA, instead of a set top box, and I am still using that. That prompted Comcast to bill me for BOTH a set top box and a DTA, and I have tried unsuccessfully for six, yes 6, years to get them to stop doing that, until recently. A technician had to come to my house, and I took the opportunity to walk him around my house so he could see for himself how many cable outlets I have and how many TVs I have. That technician SAYS he fixed my problem, and I will no longer be billed for ""an additional outlet."" We'll see. This is the fi",Billing,Medium
"I called Comcast customer service, and first it took me more than two hours to get a hold of someone. Then they started transferring between different representatives, which all were unprofessional. I understand cost cutting by outsourcing your customer service, but putting unprofessional and skilled people on the other side is a shame. It feels like the company is taking advantage of the fact that they are operating in an oligopoly where they can control the consumer. I think it's time for the government to take action and fine Comcast for their horrible business relationship with the consumers.I had Internet problems for half of the month and couldn't perform my job from the house. I called Comcast customer service, and sent a technician. They also promised me that they will waive this month fee. I decided to ask permission from the representatives and record him promising that he is canceling this particular month bill. For my surprise in the next bill that I received, they included",Billing,High
"I am extremely upset with the ABSOLUTELY HORRIBLE SERVICE that I have received from Comcast since we agreed [now, regrettably] to sign up with them back in June 2013. They have billed me incorrectly every month over-charging at least $15/month and then it takes hours of frustration calling them to demand a credit be applied to the account. The Customer Service Agent that I speak to always says that they have the authority to apply the small credits, but they do not appear on my billing statement the following month. Then when I call back, the next agent claims that there is no record that I called in and no record that a credit was to be applied to the account. One time a credit was approved but was later over-turned by someone else who had no contact with me. This is a terrible company to deal with, and I recommend to any potential new cable customers that if you have another alternative then you should go with the other company. However, I have dealt with DirecTV and Dish, and they a",Billing,High
"Kept cutting my service back and raising my rates. Then wanted to force me to rent their converter boxes to accommodate their change in service (which btw was not true for months). And I didn't ask for. Finally I just had snow, even though they told me I would not. So I told them to shut me off. 5 times. Despite this they kept charging me. And each time I called they acted as if I had never called/written to turn off my service. So finally I wrote a letter to the office of the CEO. I had read that Comcast takes customer service seriously. HAH. Some guy from the ""office of the president"" called me. At first he was pleasant. When he realized that I really had no interest in staying with Comcast, he became verbally abusive. Even though I told him I was driving, he asked for specific dates that I had called etc. He threatened to send me to collections, even though I had snow on my screen for 5 months, and they had continued to charge my credit card, until I removed it from the website. Bul",Billing,High
"So originally I had spoke with a Comcast sales representative about lowering my bill. It was part of a special offer for long time customers. She said she would. I find out later, Comcast has been charging me 80 bucks a month for a fairly substandard internet connection (no cable or anything, just internet). This was 35 dollars more than the deal that was promised to me, and worst of all because I'd been auto-paying, I hadn't noticed for several months that this had been going on. So I call them, and let them know. They say there's nothing they can do to lower my bill to the promised rate, but they noticed extra charges that were unnecessary on my account. They assured me over the phone they'd removed some of those charges bringing my monthly bill to about 56-57 dollars including tax. I check my account online. The balance due was indeed lowered to around 57 dollars. However, when I finally do get billed automatically, Comcast again goes back to charging 80 bucks a month! So I call bac",Billing,High
"In November 2013 I purchase a 2012 LG tv. After a few weeks, the tv began to have problems. The signal began making the TV not receive the information quickly. Comcast was called. The tech repaired. However, a few weeks later the problem surfaced again. Comcast was called. We are now in January 2014. Each time Comcast needs to troubleshoot the system even though it was recorded since Nov 2013 the problem existed. Now had one older tv purchased in 2001, no problem with the signal but the newer tv had the problem. Comcast finally repaired it February 2014. There was no conversation when I signed the approval of the repair I would be charged after services were completed. I was not notified prior to completion of services there would be a charge because I didn't have Comcast service plan if something went wrong with their system. When I pay my bill late February there is an extra charge of $55. In billing there was no notification prior to services being rendered there would be a charge. ",Billing,Medium
"My service was disconnected without notice on 6/23/10. I am the manager of this community and I am supposed to receive a discount of which I have never had after numerous requests. I made a payment for 2 months on June 4th. When I called today, an incompetent rep told me there was no payment made. When I called back, they then said the routing number they input was incorrect so it was not posted. No courtesy letter or phone call was made. I made a payment today 6/23/10 approx. 10:00am which cleared immediately by debit card. I still have no phone or digital cable service and it is 12:41 pm. This was totally uncalled for.",Billing,High
"I've called Comcast many times and have been disappointed many times. The customer service reps are trained to NOT compromise with their customers and tell you, ""You're wrong, you MUST pay the entire bill."" Even when you threaten to leave their company they still don't care. At one point they accidently created 2 accounts for me because one of the reps misspelled my first name on a bill. Instead of fixing the problem, they told me I owed BOTH bills and refused to fix the issue. I ended up canceling their service, and they sent their harassing debt collectors after me for a measly 50 bucks! After threatening to mess with my credit score I ended up just paying the 50.00 that I didn't even owe. Terrible, terrible customer service. I'd recommend anyone but them.",Billing,High
"2/2009 - 181.75; 3/2009 - 96.23; 4/2009 - ; 5/2009 - 83.51. 6/2009 - 84.96; 7/2009 - 85.05  and then...8/2009 - 121.63; 9/2009 - 97.57; 10/2009 - 117.64 I called comcast, yet again. they will credit my account.  When asked what happened, Customer Service didn't understand the billing either.  I do believe this is NOT an honest error, I think this is Comcast being dishonest & hoping customers won't notice. Is there anyway for the Federal Government or some Regulatory Group to Audit Comast billing overcharges?  This is a whole other profit center for them. This cannot be legal.  What recourse is available to overcharged customers?",Billing,High
"We just got Comcast in March and ever since then it's been a nightmare. They have messed up our bill so bad that they don't even know how to fix it. I wrote to that Tom K's office and every time you try to talk to the first person you spoke with they can never get you to that person. They are overcharging our account by about $300. The first man we spoke within Tom K's office supposedly took care of everything and credited our account. Guess what, he didn't. I think this company should be banned. They have the rudest customer service reps I have ever dealt with. They hang up on you when you want a supervisor. We did find a way to have someone call you back within an hour, take the survey and give them bad marks. They call immediately and want to know why you gave them low scores. I think there should be a class action law suit brought against them because it sounds like they do this to everybody.",Billing,High
"This is the post I put on my personal Facebook page 7-17-2014. I'm posting on the Comcast corporate Facebook page as a warning to anyone considering Comcast as an internet/cable provider. Also to offer legal proof that I am aware of my bill behind due 7-20-2014 but will not make a payment until my bill is adjusted correctly. Any attempt to charge me a late charge for not paying an incorrect and probably illegal charge will be documented also. I have given Comcast ample time to correct this error and have been met with total disregard.Update: I paid $120 to Comcast today 7-19-2014 which is less than they say I owe but more than I actually owe. I told them to put a note on my file that I was disputing the charges. Only time will tell if I'm charged a late fee or not. Well alright then, here is the scoop on my Comcast saga. It will soon become obvious why they have taken control of the WORST CUSTOMER SERVICE of any corporation in America.6-1-2014 @ 7:39pm - Called Comcast Customer Service",Billing,High
"I don't like Comcast telling me I gotta pay my bill a month in advance! I've got 5 kids and my baby, Daddy, don't got no job! We just bought a 60"" plasma and the ** at Comcast, Hector ""I don't speak English so good"", told me I was in ""soft disco"" and I had like 3 weeks to pay before they sent a guy out to shut me off at my house! Hector told me I was still getting billed and it's because during this time they don't charge you like $50 to turn your service back on like PGE does. This is totally wrong!This is the 4th time this year they did this to my babies. I asked if I could pay $20 of the $379 I owe so they could put it back on for a day and the guy was so rude and didn't care that my family needs to watch TV and go on the computer to watch cartoons and stuff. I told him to give me a manager and he was like so rude and said he would get me one, but then this guy in Sales picked up and had no clue that Hector was talking to me! So, the sales guy wouldn't do anything except tell me tha",Billing,High
"   In the month of November our services(phone,internet,and cable) with Comcast were cut off due to non payment. On Friday November 20th I had payed my bill to current status. When I called on Friday from my work phone(because I do not have a phone at home and no cell phone)Comcast said that they were going to send a technician out on Saturday from 8am-11am to set my service back up. I stayed home from work and I was up and ready at 8am. At 10:30am on 11/21/09 the techincian left a door tag saying he had missed me. I was there and there was no knock on the door. So I called again and told the man what happened. He said someone would be coming back out later that day. No one came. I called on Sunday 11/25/09 from my apartment leasing office. She said that she would call the technician and try to see if they could come out. She asked if I could stay were I was at to give me a call back. So I waited and waited for 2 hours in the leasing office. No call from Comcast. Then I called again on",Billing,High
"I have a bill 594. I put in mail for 500. They are saying that they never got it. I am SSI, so I only can send one payment a month. I did not even pay my rent because of this bill. The bank is doing a trace on the money order. Please help us. I can send a payment May 1 for 500.",Billing,High
"Ordered bundle deal from Comcast and bill continues to go up every month. Have been lied to, put on eternal hold with still no answers. Talk to foreign reps and can't completely understand them. Talk to manager with still no changes. Charges are added to bill if Comcast comes to your home. Fed up and have had enough of this!!!!!",Billing,High
"I have had Comcast since January 07  and have been very satisfied, until now.... I recently moved, when I called them to make them aware, and have them re-install me at my new address (a few apartments over) they were short on the phone, but I just thought they had taken care of everything quickly. I received my bill for the old apartment as expected and had no objections with the bill until I called to pay over the phone. My balance was $17 more than what was stated on my bill. A rep told me this was because I had moved and their was a small service fee for re-installment. That was fine, and I happily paid my bill. The next month I received a bill that was more than double what it should be. I called the 800 number and spoke with a woman who was extremely rude; when I tried to explain the situation to her she got extremely defensive and told me that she was a preacher's wife and she was not interested in ripping me off. I told her that I didn't care who she was married to and the comp",Billing,High
