complaint_text,category,priority
I have been without service for an entire week now.,Technical,High
Your technician came and left without fixing the problem.,Technical,High
The router you provided overheats and shuts down every few hours.,Technical,Medium
I am unable to connect more than one device to the network.,Technical,Medium
My internet works fine during the day but drops completely at night.,Technical,Medium
Video calls are impossible because of constant lag and freezing.,Technical,High
I have called support 5 times and the issue is still not resolved.,Technical,High
The set top box you sent me was broken straight out of the box.,Technical,Medium
My smart TV cannot find the network even though other devices connect fine.,Technical,Low
Pages take forever to load even on a wired connection.,Technical,Medium
I have had 3 outages this week alone.,Technical,High
My voicemail stopped working and I am missing important messages.,Technical,Medium
My order has been sitting in the warehouse for 10 days with no movement.,Delivery,High
The delivery was attempted when I was home but no one knocked.,Delivery,Medium
My package was left outside in the sun and the contents melted.,Delivery,High
I paid for same day delivery but it arrived 3 days later.,Delivery,High
The tracking page has not updated in 5 days.,Delivery,Medium
My order was split into 3 shipments and only one has arrived.,Delivery,Medium
The courier left my package with a neighbor without my permission.,Delivery,Medium
I received someone else's order completely.,Delivery,Medium
My package shows delivered but I have checked everywhere and it is not here.,Delivery,High
The estimated delivery date has been pushed back 4 times now.,Delivery,High
I ordered a gift for a birthday and it arrived a week late.,Delivery,Medium
The box arrived completely open and items were missing inside.,Delivery,High
I was not given any tracking number after placing my order.,Delivery,Low
My return pickup was scheduled 2 weeks ago and no one has come.,Delivery,High
The delivery driver marked my package as refused but I never refused it.,Delivery,High
I have been waiting 3 weeks for a replacement to be delivered.,Delivery,High
My order confirmation shows a different address than what I entered.,Delivery,Medium
The fragile sticker on my package was completely ignored and it arrived broken.,Delivery,High
I received only half of my order with no explanation for the rest.,Delivery,Medium
Delivery was rescheduled without anyone informing me.,Delivery,Low
I have been locked out of my account for 3 days and cannot reach support.,Account,High
My account was merged with someone else's without my knowledge.,Account,High
I cannot update my phone number because the verification code never arrives.,Account,Medium
My loyalty points disappeared from my account overnight.,Account,Medium
I requested account deletion 30 days ago and it still exists.,Account,Medium
Someone changed the email on my account and I cannot get back in.,Account,High
My account shows purchases I never made.,Account,High
I cannot add a new payment method to my account.,Account,Low
My account was suspended without any reason given.,Account,High
The name on my account is misspelled and I cannot change it.,Account,Low
I have two accounts accidentally created under my email.,Account,Low
My subscription was downgraded without my consent.,Account,High
I cannot see my order history even though I have been a customer for 5 years.,Account,Medium
My saved addresses were all deleted from my account.,Account,Medium
I am unable to close my account despite multiple requests.,Account,Medium
My account preferences keep resetting every time I log in.,Account,Low
I was logged out of all devices without warning.,Account,Medium
My account shows a different plan than what I signed up for.,Account,High
I cannot verify my identity to recover my account.,Account,High
My two factor authentication stopped working after I changed my phone.,Account,Medium
I would like to know how to upgrade my current plan.,Other,Low
Can you explain what the different packages include?,Other,Low
I am moving to a new address and want to transfer my service.,Other,Low
How long does it take to process a new application?,Other,Low
I would like to leave a positive review for one of your agents.,Other,Low
Is there a family plan available for multiple users?,Other,Low
How do I update my communication preferences?,Other,Low
I want to know if you offer any loyalty rewards.,Other,Low
Can I pause my subscription temporarily?,Other,Low
I am interested in adding an extra service to my current plan.,Other,Low
What is the process for referring a friend?,Other,Low
Do you offer any discounts for senior citizens?,Other,Low
I would like a call back from your sales team.,Other,Low
How do I download my usage report?,Other,Low
Is there a grace period for late payments?,Other,Low
I want to know what happens when my contract ends.,Other,Low
Can I switch plans without any penalty?,Other,Low
I just want to confirm my next billing date.,Other,Low
Do you have a dedicated support line for business customers?,Other,Low
I would like to know more about your annual payment option.,Other,Low
